observation_date,DTWEXBGS
2022-01-03,115.4243
2022-01-04,115.3263
2022-01-05,115.1524
2022-01-06,115.4189
2022-01-07,115.0596
2022-01-10,115.2350
2022-01-11,114.8467
2022-01-12,114.3713
2022-01-13,114.1934
2022-01-14,114.3968
2022-01-17,
2022-01-18,114.7513
2022-01-19,114.6254
2022-01-20,114.4779
2022-01-21,114.6261
2022-01-24,115.2165
2022-01-25,115.1779
2022-01-26,115.1044
2022-01-27,115.9874
2022-01-28,116.0490
2022-01-31,115.5742
2022-02-01,115.3775
2022-02-02,115.1643
2022-02-03,114.9175
2022-02-04,115.1473
2022-02-07,115.0209
2022-02-08,115.0999
2022-02-09,114.8329
2022-02-10,114.5618
2022-02-11,114.8489
2022-02-14,115.2008
2022-02-15,114.9357
2022-02-16,114.6954
2022-02-17,114.6820
2022-02-18,114.8036
2022-02-21,
2022-02-22,114.7054
2022-02-23,114.6718
2022-02-24,115.9478
2022-02-25,115.2633
2022-02-28,115.2317
2022-03-01,115.8062
2022-03-02,115.7727
2022-03-03,115.9592
2022-03-04,116.6610
2022-03-07,117.3406
2022-03-08,117.6281
2022-03-09,116.6057
2022-03-10,116.7500
2022-03-11,117.0294
2022-03-14,117.1594
2022-03-15,117.2533
2022-03-16,116.8135
2022-03-17,116.0544
2022-03-18,116.1447
2022-03-21,115.9467
2022-03-22,116.0888
2022-03-23,116.0101
2022-03-24,115.9651
2022-03-25,115.7953
2022-03-28,116.1953
2022-03-29,115.5720
2022-03-30,115.0857
2022-03-31,115.2254
2022-04-01,115.4835
2022-04-04,115.4121
2022-04-05,115.7328
2022-04-06,116.0020
2022-04-07,116.3541
2022-04-08,116.4200
2022-04-11,116.5423
2022-04-12,116.3870
2022-04-13,116.2793
2022-04-14,116.7552
2022-04-15,116.7011
2022-04-18,116.8427
2022-04-19,117.1322
2022-04-20,116.7325
2022-04-21,117.1454
2022-04-22,118.0205
2022-04-25,118.6298
2022-04-26,118.9658
2022-04-27,119.4720
2022-04-28,120.0703
2022-04-29,119.4936
2022-05-02,119.8827
2022-05-03,119.7037
2022-05-04,119.5567
2022-05-05,120.0043
2022-05-06,119.8544
2022-05-09,120.4949
2022-05-10,120.7716
2022-05-11,120.3896
2022-05-12,121.2730
2022-05-13,120.8379
2022-05-16,120.6812
2022-05-17,119.8816
2022-05-18,120.0220
2022-05-19,119.4244
2022-05-20,119.3617
2022-05-23,118.7120
2022-05-24,118.6208
2022-05-25,118.9561
2022-05-26,118.7671
2022-05-27,118.2796
2022-05-30,
2022-05-31,118.0689
